date,Carbon_emission_trading,Carbon_trade,Payment_for_ecosystem_services,Carbon_tax
2004-01,12,2,2,4
2004-02,8,0,0,5
2004-03,8,0,2,0
2004-04,5,0,2,7
2004-05,6,0,0,3
2004-06,8,4,1,6
2004-07,10,0,0,3
2004-08,10,0,0,8
2004-09,7,2,2,3
2004-10,9,0,0,0
2004-11,11,2,2,3
2004-12,9,2,0,0
2005-01,16,2,0,4
2005-02,13,0,2,7
2005-03,13,0,0,5
2005-04,13,0,2,5
2005-05,14,0,1,8
2005-06,12,1,1,5
2005-07,16,0,2,4
2005-08,11,0,3,4
2005-09,12,1,2,5
2005-10,10,3,1,5
2005-11,12,2,2,3
2005-12,7,0,0,6
2006-01,14,1,0,5
2006-02,9,2,0,3
2006-03,11,2,1,7
2006-04,10,0,2,3
2006-05,14,3,1,4
2006-06,10,2,1,7
2006-07,10,1,0,4
2006-08,11,2,0,4
2006-09,9,1,1,3
2006-10,14,2,1,5
2006-11,24,3,0,6
2006-12,15,3,0,5
2007-01,20,3,0,4
2007-02,28,3,1,9
2007-03,21,2,1,10
2007-04,23,5,2,10
2007-05,26,2,2,8
2007-06,27,3,1,9
2007-07,25,3,0,5
2007-08,21,2,0,5
2007-09,22,3,1,7
2007-10,25,4,1,8
2007-11,26,4,1,9
2007-12,24,3,0,11
2008-01,24,4,1,11
2008-02,24,4,1,16
2008-03,23,2,1,13
2008-04,26,5,1,14
2008-05,27,5,0,14
2008-06,26,5,1,30
2008-07,34,4,1,24
2008-08,21,4,1,10
2008-09,24,3,0,20
2008-10,22,4,0,24
2008-11,23,5,0,12
2008-12,20,5,1,8
2009-01,17,4,1,9
2009-02,19,4,1,10
2009-03,18,7,1,13
2009-04,19,7,1,14
2009-05,17,5,1,11
2009-06,18,6,1,11
2009-07,18,8,1,11
2009-08,19,4,1,6
2009-09,20,4,1,10
2009-10,22,6,1,10
2009-11,22,6,1,13
2009-12,25,5,1,13
2010-01,18,5,1,8
2010-02,15,5,1,8
2010-03,16,5,1,10
2010-04,17,5,1,12
2010-05,14,4,1,9
2010-06,14,4,1,10
2010-07,12,3,1,7
2010-08,12,2,1,7
2010-09,11,3,1,8
2010-10,12,3,1,7
2010-11,13,3,1,8
2010-12,10,3,1,7
2011-01,10,2,1,6
2011-02,10,3,1,13
2011-03,10,3,1,32
2011-04,10,3,1,24
2011-05,10,3,1,23
2011-06,10,3,1,30
2011-07,10,2,1,100
2011-08,8,2,1,38
2011-09,9,3,1,32
2011-10,8,3,1,39
2011-11,9,3,1,27
2011-12,7,2,1,11
2012-01,6,2,1,12
2012-02,8,3,1,15
2012-03,7,3,1,19
2012-04,7,2,1,28
2012-05,8,2,1,43
2012-06,7,2,1,29
2012-07,6,2,1,35
