Category: All categories

Month,Carbon emission trading: (China),carbon trade: (China),Payment for ecosystem services: (China),Payment for ecosystem services: (China),carbon tax: (China)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,4
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,7,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,6
2004-09,2,0,0,0,0
2004-10,0,0,0,0,3
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,10,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,2,0,0,0,0
2005-12,3,0,0,0,0
2006-01,6,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,5
2006-06,0,0,0,0,0
2006-07,5,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,2,0,0,0,2
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,2,0,0,0,2
2007-03,0,0,0,0,0
2007-04,2,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,1
2007-08,3,0,0,0,1
2007-09,0,0,0,0,0
2007-10,4,0,0,0,2
2007-11,3,0,0,0,0
2007-12,1,0,0,0,0
2008-01,0,0,0,0,1
2008-02,1,0,0,0,1
2008-03,1,0,0,0,0
2008-04,2,0,0,0,0
2008-05,0,0,0,0,1
2008-06,2,0,0,0,0
2008-07,1,0,0,0,0
2008-08,2,0,0,0,1
2008-09,2,0,0,0,0
2008-10,2,0,0,0,2
2008-11,1,0,0,0,<1
2008-12,2,0,0,0,1
2009-01,2,0,0,0,1
2009-02,0,0,0,0,1
2009-03,1,0,0,0,0
2009-04,2,0,0,0,3
2009-05,3,0,0,0,0
2009-06,1,0,0,0,1
2009-07,1,0,0,0,<1
2009-08,5,0,0,0,0
2009-09,1,0,0,0,0
2009-10,2,0,0,0,0
2009-11,0,0,0,0,1
2009-12,10,0,0,0,0
2010-01,4,0,0,0,1
2010-02,2,0,0,0,0
2010-03,3,0,0,0,1
2010-04,5,0,0,0,0
2010-05,3,0,0,0,0
2010-06,4,0,0,0,3
2010-07,2,0,0,0,1
2010-08,3,0,0,0,1
2010-09,3,0,0,0,2
2010-10,4,0,0,0,1
2010-11,4,0,0,0,1
2010-12,3,0,0,0,0
2011-01,0,0,0,0,0
2011-02,1,0,0,0,1
2011-03,2,0,0,0,0
2011-04,4,0,0,0,0
2011-05,3,0,0,0,1
2011-06,4,0,0,0,0
2011-07,2,0,0,0,1
2011-08,2,0,0,0,1
2011-09,1,0,0,0,0
2011-10,1,0,0,0,2
2011-11,2,0,0,0,1
2011-12,2,0,0,0,0
2012-01,1,0,0,0,1
2012-02,2,0,0,0,0
2012-03,2,0,0,0,1
2012-04,2,0,0,0,2
2012-05,1,0,0,0,2
2012-06,1,0,0,0,0
2012-07,1,0,0,0,<1
2012-08,1,0,0,0,<1
2012-09,4,0,0,0,1
2012-10,1,0,0,0,1
2012-11,0,0,0,0,0
2012-12,0,0,0,0,2
2013-01,5,0,0,0,0
2013-02,2,0,0,0,2
2013-03,0,0,0,0,1
2013-04,5,0,0,0,0
2013-05,4,0,0,0,3
2013-06,5,0,0,0,0
2013-07,3,0,0,0,0
2013-08,3,0,0,0,0
2013-09,2,0,0,0,0
2013-10,1,0,0,0,0
2013-11,5,0,0,0,0
2013-12,3,0,0,0,3
2014-01,4,0,0,0,1
2014-02,1,0,0,0,0
2014-03,1,0,0,0,2
2014-04,6,0,0,0,0
2014-05,4,0,0,0,0
2014-06,8,0,0,0,10
2014-07,0,0,0,0,0
2014-08,0,0,0,0,0
2014-09,0,0,0,0,0
2014-10,0,0,0,0,0
2014-11,0,0,0,0,0
2014-12,0,0,0,0,0
2015-01,32,0,0,0,0
2015-02,65,0,0,0,0
2015-03,29,0,0,0,0
2015-04,0,0,0,0,100
2015-05,0,0,0,0,68
2015-06,0,0,0,0,0
2015-07,0,0,0,0,0
2015-08,0,0,0,0,42
2015-09,0,0,0,0,0
2015-10,0,0,0,0,0
2015-11,0,0,0,0,0
2015-12,0,0,0,0,0
2016-01,27,0,0,0,0
2016-02,0,0,0,0,0
2016-03,0,0,0,0,0
2016-04,0,0,0,0,0
2016-05,44,0,0,0,0
2016-06,0,0,0,0,0
2016-07,0,0,0,0,0
2016-08,12,0,0,0,0
2016-09,15,0,0,0,0
2016-10,11,0,0,0,0
2016-11,0,0,0,0,0
2016-12,0,0,0,0,0
2017-01,0,0,0,0,0
2017-02,0,0,0,0,0
2017-03,22,0,0,0,0
2017-04,29,0,0,0,15
2017-05,0,0,0,0,19
2017-06,0,0,0,0,0
2017-07,19,0,0,0,11
2017-08,0,0,0,0,0
2017-09,0,0,0,0,13
2017-10,41,0,0,0,0
2017-11,0,0,0,0,0
2017-12,0,0,0,0,12
2018-01,0,0,0,0,0
2018-02,0,0,0,0,34
2018-03,0,0,0,0,0
2018-04,0,0,0,0,0
2018-05,0,0,0,0,0
2018-06,0,0,0,0,0
2018-07,0,0,0,0,0
2018-08,0,0,0,0,0
2018-09,0,0,0,0,0
2018-10,0,0,0,0,0
2018-11,0,0,0,0,0
2018-12,0,0,0,0,0
2019-01,0,0,0,0,9
2019-02,0,0,0,0,11
2019-03,17,0,0,0,0
2019-04,0,0,0,0,0
2019-05,0,0,0,0,20
2019-06,0,0,0,0,0
2019-07,0,0,0,0,0
2019-08,0,0,0,0,0
2019-09,0,0,0,0,0
2019-10,0,0,0,0,0
2019-11,0,0,0,0,0
2019-12,8,0,0,0,0
2020-01,23,0,0,0,0
2020-02,21,0,0,0,0
2020-03,31,0,0,0,0
2020-04,0,0,0,0,0
2020-05,0,0,0,0,0
2020-06,26,0,0,0,20
2020-07,13,0,0,0,0
2020-08,21,0,0,0,10
2020-09,21,0,0,0,0
2020-10,27,0,0,0,13
2020-11,10,0,0,0,0
2020-12,0,0,0,0,0
2021-01,10,0,0,0,0
2021-02,20,0,0,0,0
2021-03,0,0,0,0,0
2021-04,12,0,0,0,5
2021-05,20,0,0,0,0
2021-06,21,0,0,0,6
2021-07,44,0,0,0,6
2021-08,24,0,0,0,12
2021-09,17,0,0,0,9
2021-10,20,0,0,0,0
2021-11,17,0,0,0,5
2021-12,14,0,0,0,8
2022-01,15,0,0,0,0
2022-02,23,0,0,0,4
2022-03,17,0,0,0,0
2022-04,0,0,0,0,0
2022-05,0,0,0,0,0
2022-06,5,0,0,0,0
2022-07,9,0,0,0,15
2022-08,23,0,0,0,6
2022-09,13,0,0,0,14
2022-10,11,0,0,0,0
2022-11,0,0,0,0,13
