1,Ai Xuan 艾軒,Zhejiang,1,1947,,21
2,Chang DaiChien 張大千,Neijiang,1,1899,1983,18
3,Chu Chu 儲楚,Hangzhou,0,1975,,9
4,Giuseppe Castiglione 郎世宁,Italy,1,1688,1766,25
5,Gu Wenda 谷文达,Shanghai,1,1955,,14
6,He Baili 何百里,GuangZhou,1,1945,,16
7,He Jilan 何紀嵐,Hong Kong,1,1974,,14
9,Irene Chou 周綠雲,Shanghai,0,1924,2011,14
10,Jin TingBiao 金廷标,Huzhou,1,1767,,13
11,Li FangYing 李方膺,Jiangsu,1,1696,1755,10
12,Li Zijian 李自健,ShaoYang,1,1954,,8
13,Ling Jian 凌健,ShanDong,1,1963,,18
15,Liu KuoSung 刘国松,AnHui,1,1932,,13
16,Liu YuanShou 劉元壽,Beijing,1,1967,,16
18,Lu XinJian 陆新建,Jiangsu,1,1977,,10
19,Luo ZhongLi 羅中立,ChongQing,1,1948,,18
21,Qin Feng 秦风,XinJiang,1,1961,,18
22,Qiu Ying 仇英,Jiangsu,1,1494,1552,27
23,Wai Ming,Canton,1,1938,,12
24,Wang Hui 王翚,SuZhou,1,1632,1717,17
25,Yao WenHan 姚文瀚,顺天（今北京）,1,1739,,19
26,Yu ZhiDing 禹之鼎,YangZhou,1,1647,1709,5
27,Zhang XiaoGang 张晓刚,KunMing,1,1958,,29
28,Zhao KaiLin 赵开霖,BengBu,1,1961,,13
30,Zou ChuanAn 邹传安,XinHua,1,1941,,20
